 , 
 , 
宁波银行2011-2021,2016
word,count
电子银行,9
网上银行,6
网银,2
电子商务,1
网上支付,1
 , 
 , 
宁波银行2011-2021,2017
word,count
电子银行,8
网上银行,5
网银,4
人工智能,2
二维码支付,1
电子商务,1
网上支付,1
 , 
 , 
宁波银行2011-2021,2015
word,count
电子银行,10
网上银行,9
网银,5
电子商务,1
网上支付,1
 , 
 , 
宁波银行2011-2021,2014
word,count
网银,11
网上银行,6
电子银行,4
网上支付,1
 , 
 , 
宁波银行2011-2021,2011
word,count
网上银行,1
电子商务,1
第三方支付,1
电子银行,1
 , 
 , 
宁波银行2011-2021,2013
word,count
电子银行,7
网银,5
网上银行,4
互联网支付,1
网上支付,1
 , 
 , 
宁波银行2011-2021,2012
word,count
电子银行,18
网上银行,7
网银,6
第三方支付,1
 , 
 , 
宁波银行2011-2021,2020
word,count
网上银行,5
网银,1
电子银行,1
 , 
 , 
宁波银行2011-2021,2021
word,count
网上银行,3
电子银行,1
 , 
 , 
宁波银行2011-2021,2019
word,count
网上银行,2
网银,2
人工智能,1
网贷,1
电子银行,1
在线理财,1
 , 
 , 
宁波银行2011-2021,2018
word,count
人工智能,4
网银,4
网上银行,2
电子银行,1
网上支付,1
 , 
 , 
中国银行,2016
word,count
网银,8
网上银行,6
电子银行,2
电子交易,1
二维码支付,1
 , 
 , 
中国银行,2017
word,count
网银,7
人工智能,3
网上银行,3
二维码支付,2
电子银行,2
互联网银行,1
 , 
 , 
中国银行,2015
word,count
网银,11
电子商务,4
电子银行,2
网上银行,1
 , 
 , 
中国银行,2014
word,count
网银,13
网上银行,3
电子商务,2
电子银行,2
第三方支付,1
 , 
 , 
中国银行,2011
word,count
电子银行,10
网银,7
网上银行,7
网上支付,2
电子商务,2
 , 
 , 
中国银行,2013
word,count
网银,16
电子银行,10
电子商务,7
网上银行,3
 , 
 , 
中国银行,2012
word,count
网上银行,6
电子银行,5
网银,5
网上支付,1
电子商务,1
电子交易,1
 , 
 , 
中国银行,2020
word,count
人工智能,6
网银,4
网上银行,3
智能投顾,2
电子银行,2
第三方支付,1
二维码支付,1
互联网保险,1
 , 
 , 
中国银行,2021
word,count
网银,6
人工智能,5
网上银行,5
电子银行,3
电子交易,2
智能投顾,1
互联网保险,1
电子商务,1
 , 
 , 
中国银行,2019
word,count
人工智能,8
网银,6
网上银行,5
智能投顾,1
电子商务,1
电子银行,1
 , 
 , 
中国银行,2018
word,count
人工智能,10
智能投顾,7
网上银行,7
网银,5
电子银行,3
二维码支付,3
电子交易,1
 , 
 , 
光大银行2011-2021,2016
word,count
电子银行,13
众筹,2
网银,2
人工智能,1
互联网保险,1
 , 
 , 
光大银行2011-2021,2017
word,count
电子银行,8
网上银行,1
电子商务,1
网银,1
人工智能,1
 , 
 , 
光大银行2011-2021,2015
word,count
电子银行,9
网上银行,2
网银,2
电子商务,1
网上支付,1
 , 
 , 
光大银行2011-2021,2014
word,count
电子银行,10
网上银行,4
网银,1
 , 
 , 
光大银行2011-2021,2011
word,count
电子银行,13
网上银行,4
网银,2
 , 
 , 
光大银行2011-2021,2013
word,count
电子银行,12
网银,2
网上银行,1
 , 
 , 
光大银行2011-2021,2012
word,count
